MSSubClass,LotArea,Street,BsmtFullBath,1stFlrSF,2ndFlrSF,YearRemodAdd,CentralAir,GarageQual,SaleCondition,Neighborhood
20,10552,Pave,0,1700,0,1959,Y,TA,Normal,NAmes
120,7313,Pave,1,1561,0,2005,Y,TA,Normal,NridgHt
60,13418,Pave,0,1132,1320,2005,Y,TA,Normal,NridgHt
20,10859,Pave,0,1097,0,1995,Y,TA,Normal,CollgCr
20,8532,Pave,0,1297,0,1990,Y,TA,Normal,NAmes
20,7922,Pave,1,1057,0,2007,Y,TA,Abnorml,NAmes
90,6040,Pave,0,1152,0,1955,N,,AdjLand,Edwards
20,8658,Pave,0,1324,0,1965,Y,TA,Abnorml,NAmes
20,16905,Pave,0,1328,0,1959,Y,TA,Normal,Timber
85,9180,Pave,1,884,0,1983,Y,TA,Normal,SawyerW
20,9200,Pave,1,938,0,1980,Y,TA,Normal,CollgCr
20,7945,Pave,1,1150,0,1959,Y,TA,Normal,NAmes
120,7658,Pave,1,1752,0,2005,Y,TA,Normal,NridgHt
50,12822,Pave,1,1518,631,2003,Y,TA,Abnorml,Mitchel
20,11096,Pave,0,1656,0,2006,Y,TA,Normal,Somerst
190,4456,Pave,0,736,716,2008,Y,,Partial,OldTown
20,7742,Pave,1,955,0,1966,Y,TA,Normal,Sawyer
60,13869,Pave,0,794,676,1997,Y,TA,Normal,Gilbert
50,6240,Pave,0,816,0,1950,Y,TA,Normal,BrkSide
90,8472,Grvl,1,816,0,1963,N,TA,Normal,IDOTRR
20,50271,Pave,2,1842,0,1987,Y,TA,Normal,Veenker
80,7134,Pave,0,1360,0,1955,Y,TA,Normal,NAmes
20,10175,Pave,0,1425,0,1964,Y,TA,Normal,NAmes
160,2645,Pave,1,983,756,2000,Y,TA,Abnorml,Somerst
60,11645,Pave,0,860,860,2004,Y,TA,Normal,CollgCr
60,13682,Pave,0,1426,1519,2006,Y,TA,Partial,StoneBr
20,7200,Pave,0,780,0,1972,Y,TA,Normal,CollgCr
20,13072,Pave,1,1158,0,2004,Y,TA,Partial,SawyerW
75,7200,Pave,0,581,530,1996,N,TA,Normal,IDOTRR
120,6442,Pave,0,1370,0,2006,Y,TA,Normal,NridgHt
70,10300,Pave,0,902,808,1950,Y,TA,Normal,OldTown
60,9375,Pave,1,1057,977,1998,Y,TA,Normal,CollgCr
60,9591,Pave,0,1143,1330,2005,Y,TA,Normal,NridgHt
20,19900,Pave,1,2207,0,1989,Y,TA,Normal,NAmes
20,10665,Pave,1,1479,0,2003,Y,TA,Normal,CollgCr
30,4608,Pave,0,747,0,1950,Y,TA,Normal,OldTown
50,15593,Pave,0,1304,983,1953,Y,TA,Normal,ClearCr
20,13651,Pave,1,2223,0,1973,Y,TA,Normal,NAmes
20,7599,Pave,1,845,0,2006,Y,TA,Normal,Mitchel
60,10141,Pave,0,885,833,1998,Y,TA,Normal,Gilbert
20,10200,Pave,1,1086,0,2003,Y,TA,Normal,NAmes
50,5790,Pave,0,840,765,1950,N,TA,Normal,OldTown
180,1596,Pave,1,526,462,1973,Y,TA,Normal,MeadowV
20,8475,Pave,0,952,0,1956,Y,TA,Normal,NAmes
50,8635,Pave,1,1072,213,2001,Y,TA,Normal,BrkSide
90,10778,Pave,0,1768,0,1968,N,,Normal,Sawyer
50,10440,Pave,0,682,548,1981,Y,TA,Normal,OldTown
60,13000,Pave,0,1182,960,1968,Y,TA,Normal,NAmes
120,4500,Pave,1,1337,0,1998,Y,TA,Normal,Mitchel
20,10206,Pave,0,1563,0,2007,Y,TA,Normal,Somerst
20,8892,Pave,0,1065,0,1960,Y,TA,Normal,NAmes
80,8530,Pave,0,804,670,1996,Y,TA,Normal,Gilbert
60,16059,Pave,0,1301,1116,1992,Y,TA,Normal,NoRidge
60,11911,Pave,0,684,876,2005,Y,TA,Normal,Gilbert
160,3951,Pave,0,612,612,2009,Y,TA,Partial,Somerst
50,8470,Pave,0,1013,0,1982,N,,Abnorml,IDOTRR
20,8070,Pave,1,990,0,1995,Y,,Normal,CollgCr
20,7200,Pave,0,1040,0,1950,Y,TA,Normal,NAmes
20,8500,Pave,0,1235,0,1961,Y,TA,Abnorml,NAmes
30,13360,Pave,1,964,0,2006,Y,TA,Normal,Crawfor
190,7200,Pave,0,1260,1031,1998,N,TA,Normal,OldTown
60,9337,Pave,1,905,881,1997,Y,TA,Normal,CollgCr
60,9765,Pave,0,680,790,1993,Y,TA,Normal,Gilbert
20,10264,Pave,0,1588,0,1999,Y,TA,Normal,CollgCr
20,10921,Pave,1,960,0,1965,Y,TA,Normal,Edwards
30,10625,Pave,0,835,0,1950,N,Fa,Abnorml,Edwards
20,9320,Pave,1,1225,0,1959,Y,,Normal,NAmes
20,10603,Pave,1,1610,0,2001,Y,TA,Normal,NWAmes
60,9206,Pave,0,977,755,1985,Y,TA,Normal,SawyerW
90,7018,Pave,0,1535,0,1979,Y,TA,Alloca,SawyerW
20,10402,Pave,0,1226,0,2009,Y,TA,Normal,CollgCr
50,7758,Pave,0,1226,592,1950,Y,TA,Normal,IDOTRR
60,9375,Pave,0,1053,939,2004,Y,TA,Normal,Somerst
30,10800,Pave,0,1047,0,1995,Y,Fa,Normal,OldTown
20,6000,Pave,0,789,0,1950,Y,TA,Partial,OldTown
50,8500,Pave,0,997,520,2005,N,,Normal,IDOTRR
20,11751,Pave,0,1844,0,1977,Y,TA,Normal,NWAmes
50,9525,Pave,0,1216,639,1972,Y,TA,Normal,Edwards
80,7750,Pave,0,774,656,2000,Y,TA,Normal,Gilbert
60,9965,Pave,1,1282,1414,2007,Y,TA,Partial,CollgCr
20,21000,Pave,1,2259,0,1953,Y,TA,Abnorml,Crawfor
70,7259,Pave,1,1436,884,2002,Y,TA,Normal,Crawfor
160,3230,Pave,0,729,729,1999,Y,TA,Normal,Somerst
20,11616,Pave,0,1092,0,1962,Y,TA,Normal,Sawyer
20,8536,Pave,0,1125,0,2007,Y,TA,Partial,Edwards
60,12376,Pave,1,1699,1523,1990,Y,TA,Normal,SawyerW
60,8461,Pave,0,728,728,2006,Y,TA,Partial,CollgCr
80,21453,Pave,1,988,0,1969,Y,TA,Normal,ClearCr
50,6060,Pave,0,772,351,1950,Y,TA,Normal,IDOTRR
20,9464,Pave,0,1080,0,1958,Y,TA,Normal,NAmes
120,7892,Pave,0,1199,0,1993,Y,TA,Normal,SawyerW
20,17043,Pave,0,1586,0,1998,Y,TA,Normal,NWAmes
190,6780,Pave,1,520,0,1982,N,,Normal,IDOTRR
120,4928,Pave,0,958,0,1976,Y,TA,Normal,NPkVill
45,4388,Pave,0,840,0,1950,Y,,Normal,OldTown
60,7590,Pave,0,660,688,1966,Y,TA,Normal,NAmes
20,8973,Pave,0,1053,0,1991,Y,TA,Abnorml,NAmes
60,14200,Pave,0,1216,941,1966,Y,TA,Normal,NAmes
60,12224,Pave,1,1022,1032,2000,Y,TA,Normal,Gilbert
20,7388,Pave,1,1327,0,2002,Y,TA,Normal,NAmes
20,6853,Pave,1,1296,0,2002,Y,TA,Normal,Timber
20,10335,Pave,0,1721,0,1993,Y,TA,Normal,Sawyer
20,10400,Pave,0,1682,0,1970,Y,TA,Normal,NWAmes
20,10355,Pave,0,1214,0,1967,Y,TA,Normal,NAmes
90,11070,Pave,0,1959,0,1989,Y,TA,Family,Mitchel
60,9066,Pave,0,1004,848,2000,Y,TA,Normal,CollgCr
60,15426,Pave,1,928,836,1997,Y,TA,Normal,CollgCr
20,10500,Pave,0,864,0,1971,Y,,Normal,NAmes
20,11645,Pave,1,1734,0,2005,Y,TA,Normal,CollgCr
50,8520,Pave,0,910,475,1952,Y,TA,Normal,NAmes
20,10335,Pave,1,1501,0,1999,Y,TA,Normal,CollgCr
90,9100,Pave,1,1728,0,1963,Y,TA,Abnorml,Sawyer
160,2522,Pave,0,970,739,2006,Y,TA,Normal,Edwards
30,6120,Pave,1,875,0,1993,Y,Fa,Normal,BrkSide
60,9505,Pave,0,884,1151,2001,Y,TA,Normal,Gilbert
20,7500,Pave,1,1080,0,2005,Y,,Normal,SawyerW
50,6240,Pave,0,896,448,1950,Y,Fa,Normal,BrkSide
20,10356,Pave,0,969,0,1975,Y,TA,Normal,CollgCr
20,13891,Pave,1,1710,0,2008,Y,TA,Partial,NridgHt
60,14803,Pave,0,1097,896,1971,Y,TA,Normal,NWAmes
20,13500,Pave,1,1252,0,1975,Y,TA,Normal,ClearCr
30,11340,Pave,0,1200,0,1950,Y,Fa,Family,OldTown
50,9600,Pave,0,572,524,1950,N,,Normal,Edwards
20,7200,Pave,0,1040,0,1950,Y,TA,Normal,NAmes
60,12003,Pave,0,774,1194,2010,Y,TA,Partial,Timber
60,12552,Pave,0,991,956,2005,Y,TA,Normal,Somerst
60,19378,Pave,1,1392,1070,2006,Y,TA,Partial,Gilbert
20,11120,Pave,0,1232,0,1984,Y,TA,Normal,Veenker
60,13688,Pave,1,1572,1096,2004,Y,TA,Normal,NridgHt
20,12182,Pave,0,1541,0,2005,Y,TA,Partial,NridgHt
45,5500,Pave,0,882,0,1956,Y,,Normal,OldTown
40,5400,Pave,0,1149,467,2004,Y,TA,Normal,OldTown
190,10106,Pave,1,808,547,1999,Y,,Normal,Edwards
20,10708,Pave,1,1867,0,1993,Y,TA,Normal,ClearCr
60,10562,Pave,1,1610,551,2007,Y,TA,Partial,NridgHt
60,8244,Pave,0,840,880,2004,Y,TA,Normal,Gilbert
20,16669,Pave,0,1707,0,1981,Y,TA,Normal,Timber
50,12358,Pave,0,854,0,1950,Y,TA,Normal,OldTown
20,31770,Pave,1,1656,0,1960,Y,TA,Normal,NAmes
160,5306,Pave,1,1064,703,1987,Y,Gd,Normal,StoneBr
20,10197,Pave,1,1362,0,1961,Y,TA,Normal,NAmes
20,12416,Pave,1,1651,0,1986,Y,TA,Normal,Timber
20,12615,Pave,1,2158,0,2001,Y,TA,Normal,Edwards
60,10029,Pave,0,1164,896,1989,Y,TA,Normal,ClearCr
50,13650,Pave,1,1252,668,1958,Y,TA,Normal,Sawyer
20,17423,Pave,1,2234,0,2009,Y,TA,Partial,StoneBr
30,8520,Pave,0,968,0,2006,Y,Fa,Normal,OldTown
160,2117,Pave,0,769,756,2000,Y,TA,Normal,Somerst
70,7588,Pave,0,901,901,1950,Y,Fa,Normal,Crawfor
20,9060,Pave,0,1340,0,2006,Y,TA,Normal,Edwards
50,11426,Pave,0,1362,720,2003,Y,TA,Normal,OldTown
50,7438,Pave,0,936,316,1991,Y,TA,Normal,BrkSide
75,22950,Pave,0,1518,1518,1993,Y,Ex,Normal,OldTown
80,9947,Pave,1,1217,0,1991,Y,TA,Normal,Mitchel
50,10410,Pave,0,808,704,1987,Y,Fa,Normal,OldTown
90,7018,Pave,2,1224,0,1979,Y,TA,Alloca,SawyerW
120,4923,Pave,1,1593,0,2002,Y,TA,Normal,StoneBr
70,10570,Pave,0,1549,1178,1994,Y,TA,Normal,Crawfor
60,7472,Pave,1,725,754,2004,Y,TA,Normal,NAmes
20,9017,Pave,1,1431,0,1999,Y,TA,Normal,CollgCr
160,2522,Pave,0,970,739,2004,Y,TA,Normal,Edwards
20,7180,Pave,0,864,0,1972,Y,TA,Normal,CollgCr
160,2280,Pave,0,855,601,1976,Y,TA,Normal,NPkVill
20,9416,Pave,1,1726,0,2007,Y,TA,Partial,Somerst
75,25419,Pave,1,1360,1360,1990,Y,TA,Abnorml,NAmes
75,5520,Pave,0,929,929,1950,Y,,Abnorml,OldTown
20,9591,Pave,1,1713,0,2005,Y,TA,Normal,NridgHt
20,8546,Pave,0,1121,0,2004,Y,TA,Normal,Edwards
20,10125,Pave,0,1279,0,1977,Y,TA,Normal,Mitchel
50,7000,Pave,0,865,445,1950,Y,TA,Normal,OldTown
120,4438,Pave,1,848,0,2004,Y,TA,Normal,CollgCr
50,3500,Pave,0,720,564,1950,Y,TA,Normal,OldTown
20,11851,Pave,0,1442,0,1990,Y,TA,Normal,Gilbert
20,13673,Pave,0,1696,0,1962,Y,TA,Normal,Sawyer
20,12493,Pave,1,1100,0,1960,Y,TA,Normal,NAmes
60,14364,Pave,1,1180,882,1989,Y,TA,Normal,SawyerW
20,8250,Pave,1,1092,0,1964,Y,TA,Normal,NAmes
30,5604,Pave,1,864,0,1950,N,,Normal,Edwards
20,10420,Pave,0,1212,0,2009,Y,TA,Normal,Edwards
60,8640,Pave,1,932,920,2009,Y,TA,Partial,Somerst
20,13568,Pave,0,990,0,1995,Y,TA,Normal,CollgCr
60,10900,Pave,0,689,703,1977,Y,TA,Normal,CollgCr
20,10011,Pave,0,1236,0,1996,Y,TA,Normal,NAmes
20,8450,Pave,1,1436,0,2004,Y,TA,Normal,CollgCr
70,9906,Pave,0,810,518,1950,N,TA,Family,OldTown
50,15660,Pave,0,1137,817,2006,Y,TA,Normal,Crawfor
120,3010,Pave,0,1248,0,2006,Y,TA,Partial,Blmngtn
20,8990,Pave,0,1498,0,2006,Y,TA,Partial,CollgCr
60,8068,Pave,0,1010,1257,2002,Y,TA,Normal,Gilbert
60,11475,Pave,1,811,741,1975,Y,TA,Normal,NWAmes
20,10500,Pave,0,864,0,1971,Y,TA,Abnorml,NAmes
20,13472,Pave,0,2392,0,2003,Y,TA,Normal,NridgHt
160,1680,Pave,0,630,672,1971,Y,TA,Abnorml,BrDale
60,9950,Pave,0,1214,1306,1995,Y,TA,Abnorml,NoRidge
160,1869,Pave,0,483,504,1970,Y,TA,Normal,BrDale
20,8521,Pave,0,912,0,1967,Y,TA,Normal,Sawyer
120,3182,Pave,0,1555,0,2006,Y,TA,Normal,Blmngtn
20,8760,Pave,1,1194,0,1959,Y,TA,Normal,NAmes
60,15138,Pave,1,1490,1304,1996,Y,TA,Normal,NoRidge
160,1680,Pave,0,483,504,1972,Y,TA,Normal,BrDale
20,10650,Pave,1,894,0,1976,Y,TA,Normal,CollgCr
60,7851,Pave,1,860,1100,2002,Y,TA,Normal,Gilbert
160,1680,Pave,0,483,504,1971,Y,TA,Normal,BrDale
20,8773,Pave,0,1414,0,2004,Y,TA,Normal,CollgCr
60,9453,Pave,0,1014,730,2003,Y,TA,Normal,SawyerW
20,12030,Pave,0,1694,0,2007,Y,TA,Partial,NridgHt
50,8741,Pave,0,798,689,1950,Y,TA,Normal,Edwards
20,9000,Pave,1,1566,0,2008,Y,TA,Normal,Somerst
30,3880,Pave,0,866,0,1997,Y,,Normal,OldTown
50,5000,Pave,0,889,551,1950,N,Fa,Normal,OldTown
160,10762,Pave,0,626,591,1980,Y,TA,Normal,SawyerW
60,8880,Pave,1,1222,888,2002,Y,TA,Normal,SawyerW
20,10400,Pave,0,1872,0,1988,Y,TA,Normal,NWAmes
190,9142,Pave,0,908,1020,1950,N,Po,Normal,OldTown
20,11310,Pave,0,1375,0,1954,Y,TA,Normal,NAmes
60,11317,Pave,0,840,828,2003,Y,TA,Normal,CollgCr
50,159000,Pave,0,1444,700,2006,Y,TA,Normal,ClearCr
30,5350,Pave,0,1306,0,1966,Y,,Normal,BrkSide
120,4750,Pave,1,1625,0,2007,Y,TA,Family,Crawfor
60,8366,Pave,0,798,842,2004,Y,TA,Normal,SawyerW
80,9350,Pave,0,1302,0,1991,Y,TA,Normal,NAmes
20,8400,Pave,1,1314,0,1957,Y,TA,Normal,NAmes
60,8738,Pave,0,1005,1286,1999,Y,TA,Normal,Gilbert
60,8791,Pave,0,864,864,2003,Y,TA,Normal,Somerst
20,8814,Pave,1,1604,0,2006,Y,TA,Abnorml,CollgCr
60,12435,Pave,0,963,829,2001,Y,TA,Normal,CollgCr
20,12702,Pave,0,882,0,1956,Y,TA,Normal,OldTown
80,19296,Pave,1,1382,0,1962,Y,TA,Normal,NAmes
60,9588,Pave,0,1482,1092,2007,Y,TA,Partial,CollgCr
80,8471,Pave,1,1212,0,1995,Y,TA,Normal,Sawyer
50,5500,Pave,1,926,0,2001,Y,TA,Normal,OldTown
30,5232,Pave,0,764,0,2004,N,TA,Normal,OldTown
20,12090,Pave,0,1422,0,1981,Y,TA,Normal,NWAmes
60,11207,Pave,1,802,709,1997,Y,TA,Normal,Gilbert
75,8400,Pave,0,1052,720,1997,Y,TA,Normal,SWISU
30,6900,Pave,0,778,0,1955,Y,Ex,Normal,IDOTRR
20,7917,Pave,1,1113,0,1976,Y,TA,Normal,Edwards
60,10728,Pave,0,1095,844,2006,Y,TA,Partial,Somerst
20,39104,Pave,1,1363,0,2005,Y,TA,Normal,ClearCr
60,11764,Pave,0,1164,1106,2007,Y,TA,Normal,NoRidge
20,9600,Pave,1,1632,0,1988,Y,TA,Normal,NAmes
20,8314,Pave,0,816,0,1982,Y,TA,Normal,Mitchel
50,7264,Pave,0,952,596,2007,N,TA,Normal,BrkSide
20,9196,Pave,0,1560,0,2003,Y,TA,Normal,Mitchel
20,19138,Pave,0,864,0,1951,Y,TA,Normal,Gilbert
20,14450,Pave,0,2121,0,2007,Y,TA,Partial,NridgHt
60,10005,Pave,0,1156,866,1977,Y,TA,Normal,ClearCr
60,11287,Pave,0,1175,807,1989,Y,TA,Normal,SawyerW
20,7200,Pave,0,1262,0,2006,Y,TA,Partial,Somerst
120,5063,Pave,1,1314,0,2008,Y,TA,Normal,NridgHt
20,9612,Pave,0,1468,0,2009,Y,TA,Partial,Somerst
120,8012,Pave,1,1575,0,1992,Y,TA,Normal,SawyerW
160,4251,Pave,0,625,625,2007,Y,TA,Partial,Somerst
50,9786,Pave,0,1085,649,1981,Y,TA,Normal,NAmes
20,8125,Pave,0,858,0,1971,Y,,Normal,NAmes
20,9819,Pave,0,900,0,1967,Y,TA,Normal,Sawyer
70,8730,Pave,0,698,698,2003,Y,TA,Normal,BrkSide
60,15611,Pave,0,1079,840,2006,Y,Gd,Partial,CollgCr
190,5687,Pave,1,936,780,2000,N,,Normal,SWISU
50,11409,Pave,0,1148,568,2008,Y,TA,Normal,Edwards
60,16659,Pave,1,1468,795,1994,Y,TA,Normal,NWAmes
20,9600,Pave,1,1644,0,1953,Y,TA,Normal,NAmes
80,7937,Pave,1,1003,0,1984,Y,TA,Normal,Mitchel
50,13710,Pave,0,910,648,1950,Y,TA,Normal,IDOTRR
60,7399,Pave,0,975,975,1998,Y,TA,Normal,Somerst
60,11700,Pave,0,1041,702,1968,Y,TA,Normal,NWAmes
20,14000,Pave,0,1152,0,2004,Y,TA,Family,Crawfor
190,15750,Pave,1,1336,0,1953,Y,TA,Normal,Crawfor
60,16226,Pave,0,1210,1242,1999,Y,TA,Normal,CollgCr
20,13704,Pave,0,1541,0,2002,Y,TA,Normal,CollgCr
20,9800,Pave,1,894,0,1972,Y,TA,Abnorml,CollgCr
75,18386,Pave,0,1675,1818,2002,Y,TA,Normal,OldTown
20,10386,Pave,1,2000,0,2005,Y,TA,Normal,CollgCr
60,13474,Pave,1,1122,1121,1991,Y,TA,Normal,SawyerW
50,7920,Pave,0,1035,371,1950,Y,,Normal,IDOTRR
30,12342,Pave,0,861,0,1950,Y,TA,Normal,Edwards
20,12378,Pave,1,1944,0,2004,Y,TA,Normal,NridgHt
60,7685,Pave,0,697,804,1994,Y,TA,Normal,Gilbert
20,8000,Pave,1,972,0,2002,Y,TA,Normal,NAmes
190,7800,Pave,1,793,325,1950,Y,TA,Normal,OldTown
20,215245,Pave,2,2036,0,1965,Y,TA,Normal,Timber
70,9600,Pave,0,832,809,1990,Y,Fa,Normal,OldTown
60,7795,Pave,1,716,716,2005,Y,TA,Normal,Gilbert
60,13005,Pave,1,1153,1200,1980,Y,TA,Normal,NWAmes
60,9000,Pave,0,1088,871,2006,Y,TA,Normal,Somerst
60,9900,Pave,1,1372,1274,1993,Y,TA,Normal,NoRidge
80,14115,Pave,1,1472,0,1980,Y,TA,Normal,NWAmes
60,16259,Pave,0,1249,1347,2006,Y,TA,Partial,NridgHt
60,12099,Pave,1,1136,1332,2004,Y,TA,Normal,NridgHt
60,10380,Pave,1,1553,1177,1987,Y,TA,Normal,SawyerW
20,5820,Pave,1,1163,0,2005,Y,Fa,Normal,OldTown
80,11275,Pave,0,1898,1080,2007,Y,TA,Normal,NAmes
45,5000,Pave,0,803,0,1950,N,TA,Normal,IDOTRR
120,10846,Pave,2,1719,0,1993,Y,TA,Normal,Veenker
20,11600,Pave,0,1383,0,1960,Y,TA,Normal,NAmes
75,11888,Pave,0,1445,689,1994,N,TA,Normal,BrkSide
70,6402,Pave,0,596,596,1950,N,Fa,Normal,IDOTRR
90,10624,Pave,0,1728,0,1964,Y,TA,Normal,NAmes
20,8176,Pave,1,1056,0,1992,Y,TA,Normal,NAmes
20,10655,Pave,1,1629,0,2004,Y,TA,Normal,NridgHt
120,8198,Pave,1,1358,0,2004,Y,TA,Normal,NridgHt
60,9042,Pave,1,943,695,1998,Y,TA,Normal,Gilbert
190,164660,Grvl,2,1619,167,1965,Y,TA,Normal,Timber
20,14157,Pave,1,1922,0,2006,Y,TA,Normal,StoneBr
20,9135,Pave,1,1536,0,2003,Y,TA,Normal,CollgCr
20,14145,Pave,1,1621,0,1998,Y,TA,Normal,NWAmes
20,12400,Pave,0,1215,0,1998,Y,TA,Normal,NAmes
60,14191,Pave,0,993,915,2002,Y,TA,Normal,Timber
20,8400,Pave,0,841,0,1950,Y,TA,Normal,SawyerW
90,8544,Pave,0,1040,0,1950,N,TA,Normal,NAmes
120,8849,Pave,0,1684,0,2005,Y,TA,Normal,NridgHt
160,2592,Pave,0,536,576,1976,Y,TA,Normal,MeadowV
50,6435,Pave,0,972,605,1950,Y,TA,Normal,BrkSide
20,12772,Pave,0,958,0,1998,Y,TA,Normal,NAmes
20,17600,Pave,1,1478,0,1960,Y,TA,Normal,NAmes
160,2448,Pave,1,764,862,2004,Y,TA,Normal,NridgHt
60,20431,Pave,1,1848,880,2006,Y,TA,Partial,NridgHt
120,7820,Pave,0,1869,0,2007,Y,TA,Partial,NridgHt
120,5271,Pave,1,1453,0,1986,Y,TA,Abnorml,ClearCr
50,9084,Pave,0,616,495,1950,N,TA,Normal,Edwards
30,8520,Pave,0,720,0,2003,Y,TA,Normal,OldTown
50,8400,Pave,0,1192,403,2000,Y,TA,Normal,SWISU
20,11249,Pave,1,1200,0,1995,Y,TA,Normal,CollgCr
20,9248,Pave,1,1167,0,1992,Y,TA,Normal,Gilbert
120,4224,Pave,1,1142,0,1976,Y,TA,Normal,MeadowV
80,6930,Pave,0,1352,0,1958,Y,TA,Abnorml,ClearCr
60,12011,Pave,1,1086,838,1998,Y,TA,Normal,NoRidge
85,7540,Pave,1,912,0,1978,Y,TA,Normal,Mitchel
50,9144,Pave,1,988,517,1982,Y,TA,Normal,BrkSide
85,7301,Pave,0,495,1427,2003,Y,TA,Normal,Edwards
160,1680,Pave,0,483,504,2007,Y,TA,Normal,BrDale
60,18800,Pave,1,790,784,1976,Y,TA,Normal,NWAmes
70,10690,Pave,0,672,672,1997,Y,TA,Normal,IDOTRR
20,9500,Pave,1,1394,0,1963,Y,TA,Normal,NAmes
80,9150,Pave,0,1431,0,1962,Y,TA,Normal,NAmes
20,7800,Pave,0,1268,0,1954,Y,TA,Normal,NAmes
20,9830,Pave,1,1287,0,2006,Y,TA,Normal,NAmes
60,8121,Pave,0,953,711,2000,Y,TA,Normal,Gilbert
50,17120,Pave,0,1120,468,1959,Y,TA,Normal,ClearCr
120,7175,Pave,1,752,0,1984,Y,TA,Normal,SawyerW
20,10634,Pave,1,1319,0,1953,Y,TA,Normal,NAmes
60,8200,Pave,0,847,1081,2004,Y,TA,Normal,CollgCr
30,10020,Pave,1,904,0,1950,N,,Normal,Edwards
85,8846,Pave,0,914,0,1996,Y,TA,Normal,CollgCr
60,11143,Pave,0,1580,886,2005,Y,TA,Normal,Somerst
20,11394,Pave,1,1856,0,2010,Y,TA,Partial,StoneBr
60,8123,Pave,0,1007,793,2000,Y,TA,Normal,Gilbert
50,5000,Pave,0,1026,665,1950,Y,TA,Normal,SWISU
20,7200,Pave,1,1301,0,2006,Y,TA,Partial,Somerst
60,9245,Pave,0,939,858,2006,Y,TA,Normal,CollgCr
45,9000,Pave,0,784,0,1950,N,Fa,Normal,SawyerW
60,53107,Pave,1,1079,874,1992,Y,TA,Normal,ClearCr
120,3182,Pave,0,1269,0,2005,Y,TA,Normal,Blmngtn
50,8410,Pave,0,658,526,1996,Y,,AdjLand,Edwards
80,7200,Pave,1,1125,0,1976,Y,TA,Abnorml,Edwards
20,9382,Pave,0,1479,0,2000,Y,TA,Normal,CollgCr
60,12474,Pave,1,1742,590,2008,Y,TA,Partial,NridgHt
50,8405,Pave,1,961,406,1950,Y,TA,Normal,Edwards
60,12209,Pave,1,804,1157,2002,Y,TA,Normal,Mitchel
20,8339,Pave,0,882,0,1959,Y,TA,Normal,NAmes
30,7446,Pave,0,788,0,1950,Y,,Abnorml,BrkSide
50,10134,Pave,0,735,299,1950,Y,TA,Normal,OldTown
20,9571,Pave,1,1144,0,1956,Y,TA,Normal,Edwards
20,7200,Pave,0,894,0,1972,Y,TA,Normal,CollgCr
60,7590,Pave,0,876,936,1962,Y,TA,Normal,NAmes
30,8967,Pave,0,1077,0,1950,Y,Po,Abnorml,IDOTRR
60,8125,Pave,1,1112,438,2007,Y,TA,Normal,Somerst
120,14963,Pave,1,1288,0,1996,Y,TA,Normal,Veenker
20,8767,Pave,0,1310,0,2005,Y,TA,Partial,CollgCr
30,10200,Pave,0,672,0,1997,Y,TA,Normal,Sawyer
